"lokalisationnummer","lokalisationsname","status","status_txt","lokalisation_art","lokalisation_art_txt","lokalisation_koord_ost","lokalisation_koord_nord","objid","lokalisation_ori","geometry"
"2121","Wäldlistrasse","1","real","1","Strasse","2684657.862","1247023.572","319","33.6","POINT (2684657.8 1247023.6)"
"1845","Sennhauserweg","1","real","1","Strasse","2684770.955","1247138.403","320","321.8","POINT (2684771 1247138.4)"
"329","Bungertweg","1","real","1","Strasse","2684705.051","1247351.853","322","311.5","POINT (2684705 1247351.9)"
"1952","Steinwiesstrasse","1","real","1","Strasse","2684403.993","1247327.28","324","23.6","POINT (2684404 1247327.2)"
"1139","Köllikerstrasse","1","real","1","Strasse","2685079.27","1247716.147","370","352.0","POINT (2685079.2 1247716.1)"
"1021","Irisstrasse","1","real","1","Strasse","2684359.095","1247376.599","414","34.0","POINT (2684359 1247376.6)"
"1428","Nägelistrasse","1","real","1","Strasse","2684385.022","1247708.264","417","308.0","POINT (2684385 1247708.2)"
"687","Gloriastrasse","1","real","1","Strasse","2684457.391","1247813.327","418","327.7","POINT (2684457.5 1247813.4)"
"1540","Phönixweg","1","real","1","Strasse","2684146.049","1247588.489","419","322.4","POINT (2684146 1247588.5)"
"2234","Zederstrasse","1","real","1","Strasse","2684193.674","1247624.348","420","36.4","POINT (2684193.8 1247624.4)"
"1766","Schneckenmannstrasse","1","real","1","Strasse","2684660.667","1247763.021","421","6.1","POINT (2684660.8 1247763)"
"762","Häldeliweg","1","real","1","Strasse","2684288.014","1247963.405","422","42.0","POINT (2684288 1247963.4)"
"1444","Neuhausstrasse","1","real","1","Strasse","2684966.87","1247997.735","468","343.5","POINT (2684966.8 1247997.8)"
"1780","Schönleinstrasse","1","real","1","Strasse","2684064.837","1247575.975","469","42.2","POINT (2684064.8 1247576)"
"1956","Sternwartstrasse","1","real","1","Strasse","2684084.81","1247969.707","470","324.7","POINT (2684084.8 1247969.8)"
"5","Ackermannstrasse","1","real","1","Strasse","2685025.121","1247903.782","489","24.0","POINT (2685025 1247903.8)"
"349","Carmenstrasse","1","real","1","Strasse","2684812.436","1247157.586","510","293.9","POINT (2684812.5 1247157.6)"
