"adr_inter","adresse","adrzus_int","behindertenparkplatz","bemerkung","ccmail","da","datum","datum_cms","dep","editor","erforderlichedokumente","fax","hausnummer","hindernisfreiheit","infrastruktur","isbetriebsferien_gebaeude","isbetriebsferien_schalter","kategorie","mail","name","namenzus","objectid","oeffnungszeiten_gebaeude_di","oeffnungszeiten_gebaeude_do","oeffnungszeiten_gebaeude_fr","oeffnungszeiten_gebaeude_mi","oeffnungszeiten_gebaeude_mo","oeffnungszeiten_gebaeude_sa","oeffnungszeiten_gebaeude_so","oeffnungszeiten_schalter_di","oeffnungszeiten_schalter_do","oeffnungszeiten_schalter_fr","oeffnungszeiten_schalter_mi","oeffnungszeiten_schalter_mo","oeffnungszeiten_schalter_sa","oeffnungszeiten_schalter_so","ort","plz","poi_id","postadresse","publish_internet","strasse","suchen","tel","tel2","www","zahlungsmittel_internet","zahlungsmittel_schalter","zahlungsmittel_telefon","zvv_label","zvv_link","metall","glas","oel","textilien","standort_id","behindertengerecht","geometry"
"","Loogartenstrasse 37","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Loogartenstrasse 37","","4361","","","","","","","","","","","","","","","Zürich","8048","sa42907","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","X","X","42907","","POINT Z (2678077 1249206.9 0)"
"","Hohlstrasse 665","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Hohlstrasse 665","","4362","","","","","","","","","","","","","","","Zürich","8048","sa66328","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","X","66328","X","POINT Z (2678727 1249497.6 0)"
"","Rautistrasse 77","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Rautistrasse 77","","4363","","","","","","","","","","","","","","","Zürich","8048","sa60840","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","X","60840","X","POINT Z (2679243.5 1248348.4 0)"
"","Paradiesstrasse 45","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Paradiesstrasse 45","","4364","","","","","","","","","","","","","","","Zürich","8038","sa42808","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","X","42808","","POINT Z (2682305 1243237.9 0)"
"","Dachslernstrasse 9","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Dachslernstrasse vis à vis 9","","4365","","","","","","","","","","","","","","","Zürich","8048","sa42908","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","X","X","42908","","POINT Z (2678697 1249144.9 0)"
"","Eugen-Huber-Strasse 4","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Eugen-Huber-Strasse 4","","4366","","","","","","","","","","","","","","","Zürich","8048","sa42911","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","X","42911","","POINT Z (2679133 1248721.9 0)"
"","Altstetterstrasse 162","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Altstetterstr. 162","","4367","","","","","","","","","","","","","","","Zürich","8048","sa42910","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","","42910","","POINT Z (2679064 1249008.9 0)"
"","Stiglenstrasse 50","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Stiglenstrasse 50","","4368","","","","","","","","","","","","","","","Zürich","8052","sa43032","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","X","43032","X","POINT Z (2683677 1253573.9 0)"
"","Hardgutstrasse 9","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Hardgutstrasse vis-à-vis 9","","4369","","","","","","","","","","","","","","","Zürich","8048","sa42909","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","X","X","42909","","POINT Z (2680455 1248841.2 0)"
"","Rautistrasse 345","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Rautistrasse 345","","4402","","","","","","","","","","","","","","","Zürich","8048","sa42912","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","X","42912","","POINT Z (2678094 1248975.9 0)"
"","Etzelstrasse 6","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Etzelstrasse vis-à-vis 6","","4403","","","","","","","","","","","","","","","Zürich","8038","sa42806","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","X","42806","X","POINT Z (2682514 1244319.9 0)"
"","Tannenrauchstrasse 116","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Tannenrauchstrasse 116","","4404","","","","","","","","","","","","","","","Zürich","8038","sa42785","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","X","42785","X","POINT Z (2682484.8 1244106.5 0)"
"","Salomon-Vögelin-Strasse 3","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Salomon-Vögelin-Strasse 3","","4405","","","","","","","","","","","","","","","Zürich","8038","sa42809","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","X","42809","","POINT Z (2682213 1244567.9 0)"
"","Morgentalstrasse 73","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Morgentalstrasse vis à vis 73","","4406","","","","","","","","","","","","","","","Zürich","8038","sa61198","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","X","61198","","POINT Z (2682044 1244188.4 0)"
"","Ernst-Zöbeli-Strasse 4","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Ernst-Zöbeli-Strasse vis-à-vis 4","","4407","","","","","","","","","","","","","","","Zürich","8048","sa42913","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","X","42913","","POINT Z (2678155 1249568.9 0)"
"","Appenzellerstrasse 73","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Appenzellerstrasse vis-à-vis 73","","4408","","","","","","","","","","","","","","","Zürich","8049","sa42985","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","X","42985","","POINT Z (2680686 1250592.9 0)"
"","Schaffhauserstrasse 502","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Schaffhauserstrasse vis-à-vis 502","","4409","","","","","","","","","","","","","","","Zürich","8052","sa43027","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","X","X","43027","","POINT Z (2683786.8 1253008.5 0)"
"","Köschenrütistrasse 72","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Köschenrütistrasse 72","","4410","","","","","","","","","","","","","","","Zürich","8052","sa43029","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","","43029","X","POINT Z (2682848 1253351.9 0)"
"","Hertensteinstrasse 41","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Hertensteinstrasse 41","","4411","","","","","","","","","","","","","","","Zürich","8052","sa43030","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","","43030","X","POINT Z (2683351 1253271.9 0)"
"","Birchstrasse 408","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Birchstrasse vis-à-vis 408","","4412","","","","","","","","","","","","","","","Zürich","8052","sa43031","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","X","43031","X","POINT Z (2683041.2 1253059.2 0)"
"","Bahnhaldenstrasse 17","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Bahnhaldensttrasse  17","","4413","","","","","","","","","","","","","","","Zürich","8052","sa43028","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","X","X","43028","X","POINT Z (2683360.5 1252586.4 0)"
"","Riesbachstrasse 61","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Riesbachstrasse 61","","4414","","","","","","","","","","","","","","","Zürich","8008","sa42895","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","X","42895","","POINT Z (2684366.5 1245863.9 0)"
"","Spyristrasse 20","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Spyristrasse 20","","4415","","","","","","","","","","","","","","","Zürich","8044","sa42935","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","X","42935","","POINT Z (2684087 1248558.9 0)"
"","Seefeldstrasse 233","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Seefeldstrasse 233","","4447","","","","","","","","","","","","","","","Zürich","8008","sa42893","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","X","42893","","POINT Z (2684814.5 1245070.9 0)"
"","Mittelstrasse 6","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Mittelstrasse 6","","4448","","","","","","","","","","","","","","","Zürich","8008","sa42892","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","X","42892","","POINT Z (2684049 1245949.9 0)"
"","Bellerivestrasse 158","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Bellerivestrasse 158","","4449","","","","","","","","","","","","","","","Zürich","8008","sa46863","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","","X","","","46863","","POINT Z (2684067.5 1245344.5 0)"
"","Seefeldquai 8","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Seefeldquai 8","","4450","","","","","","","","","","","","","","","Zürich","8008","sa46862","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","","X","","","46862","","POINT Z (2683769.5 1246142.9 0)"
"","Utoquai 46","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Utoquai 46","","4451","","","","","","","","","","","","","","","Zürich","8008","sa46866","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","","X","","","46866","","POINT Z (2683730.8 1246335 0)"
"","Bleulerstrasse 70","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Bleulerstrasse 70","","4452","","","","","","","","","","","","","","","Zürich","8008","sa42898","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","X","42898","","POINT Z (2685557 1244779.8 0)"
"","Zürichbergstrasse 196","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Zürichbergstrasse 196","","4453","","","","","","","","","","","","","","","Zürich","8044","sa42938","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","X","42938","","POINT Z (2685789 1248672.8 0)"
"","Röntgenstrasse 39","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Röntgenstrasse 39","","4712","","","","","","","","","","","","","","","Zürich","8005","sa42889","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","X","42889","","POINT Z (2682192 1248678.9 0)"
"","Ueberlandstrasse 14","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Ueberlandstrasse 14","","4713","","","","","","","","","","","","","","","Zürich","8051","sa67515","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","X","67515","","POINT Z (2684426.5 1250970 0)"
"","Josefstrasse 92","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Josefstrasse 92","","4714","","","","","","","","","","","","","","","Zürich","8005","sa42890","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","","42890","X","POINT Z (2682461 1248613.9 0)"
"","Im Altried 3","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Im Altried vis-à-vis 3","","4715","","","","","","","","","","","","","","","Zürich","8051","sa43046","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","X","43046","","POINT Z (2687010 1251112.9 0)"
"","Konradstrasse 79","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Konradstrasse 79","","4716","","","","","","","","","","","","","","","Zürich","8005","sa42891","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","X","42891","X","POINT Z (2682624 1248532.9 0)"
"","Hirzenbachstrasse 40","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Hirzenbachstrasse 40","","4717","","","","","","","","","","","","","","","Zürich","8051","sa65070","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","X","65070","X","POINT Z (2686831.8 1250971.6 0)"
"","Luchswiesenstrasse 25","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Luchswiesenstrasse 25","","4718","","","","","","","","","","","","","","","Zürich","8051","sa43041","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","X","X","43041","","POINT Z (2686572.5 1250772.9 0)"
"","Helen-Keller-Strasse 4a","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Helen-Keller-Strasse 4a","","4719","","","","","","","","","","","","","","","Zürich","8051","sa67429","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","X","67429","","POINT Z (2687069.5 1250502.4 0)"
"","Ueberlandstrasse 409","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Ueberlandstrasse 409","","4720","","","","","","","","","","","","","","","Zürich","8051","sa66749","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","","66749","","POINT Z (2686683 1251352.4 0)"
"","Ueberlandstrasse 381","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Ueberlandstrasse 381","","4721","","","","","","","","","","","","","","","Zürich","8051","sa43038","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","X","43038","","POINT Z (2686475 1251394.9 0)"
"","Geeringstrasse 95","","","","","ERZ Entsorgung + Recycling Zürich","20.03.2023 00:00","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Sammelstelle","","Geeringstrasse 95","","4722","","","","","","","","","","","","","","","Zürich","8049","sa42977","","1","","Sammelstelle, Sammelstellen, Glassammelstelle, Glassammelstellen, Altglas, Altöl, Recycling, Metall, Altmetall, Öl, Oel, Glas, Textilien, Wertstoff","044 417 77 77","","https://www.stadt-zuerich.ch/ted/de/index/entsorgung_recycling/entsorgen/wo-wann-entsorgen/wertstoff","","","","","","X","X","","X","42977","","POINT Z (2678258 1252070.9 0)"
